-3.622099384665489197e-02,1.869349181652069092e-02,2.034249156713485718e-02,-5.683170258998870850e-02,-2.129183709621429443e-01,-1.704768836498260498e-01
-3.776619210839271545e-02,1.777826249599456787e-02,1.965901255607604980e-02,-5.648832768201828003e-02,-2.127031981945037842e-01,-1.719753742218017578e-01
-3.931142389774322510e-02,1.686303317546844482e-02,1.897549629211425781e-02,-5.614490807056427002e-02,-2.124879658222198486e-01,-1.734738349914550781e-01
-4.085662961006164551e-02,1.594779640436172485e-02,1.829202473163604736e-02,-5.580152571201324463e-02,-2.122727930545806885e-01,-1.749723404645919800e-01
-4.240187257528305054e-02,1.503256708383560181e-02,1.760850846767425537e-02,-5.545811355113983154e-02,-2.120575606822967529e-01,-1.764708161354064941e-01
-4.394708573818206787e-02,1.411733776330947876e-02,1.692500710487365723e-02,-5.511471629142761230e-02,-2.118423581123352051e-01,-1.779692918062210083e-01
-4.549230262637138367e-02,1.320210844278335571e-02,1.624152064323425293e-02,-5.477131903171539307e-02,-2.116271704435348511e-01,-1.794677674770355225e-01
-4.703750833868980408e-02,1.228687912225723267e-02,1.555803418159484863e-02,-5.442792922258377075e-02,-2.114119678735733032e-01,-1.809662282466888428e-01
-4.858273267745971680e-02,1.137164980173110962e-02,1.487453281879425049e-02,-5.408452451229095459e-02,-2.111967504024505615e-01,-1.824647188186645508e-01
-5.012793838977813721e-02,1.045641303062438965e-02,1.419104635715484619e-02,-5.374114215373992920e-02,-2.109815776348114014e-01,-1.839631944894790649e-01
-5.187897756695747375e-02,9.576417505741119385e-03,1.325272023677825928e-02,-5.354327708482742310e-02,-2.105837464332580566e-01,-1.855223029851913452e-01
-5.379661545157432556e-02,8.724957704544067383e-03,1.210813224315643311e-02,-5.346325784921646118e-02,-2.100381106138229370e-01,-1.871304959058761597e-01
-5.553432554006576538e-02,7.854007184505462646e-03,1.136240363121032715e-02,-5.290079116821289062e-02,-2.092716395854949951e-01,-1.884785294532775879e-01
-5.725029855966567993e-02,6.980679929256439209e-03,1.066491752862930298e-02,-5.228006094694137573e-02,-2.084785252809524536e-01,-1.897951811552047729e-01
-5.896626040339469910e-02,6.107375025749206543e-03,9.967409074306488037e-03,-5.165930092334747314e-02,-2.076853811740875244e-01,-1.911117732524871826e-01
-6.068220734596252441e-02,5.234062671661376953e-03,9.269922971725463867e-03,-5.103856325149536133e-02,-2.068922817707061768e-01,-1.924284249544143677e-01
-6.239818409085273743e-02,4.360735416412353516e-03,8.572421967983245850e-03,-5.041783303022384644e-02,-2.060991674661636353e-01,-1.937450766563415527e-01
-6.411415338516235352e-02,3.487423062324523926e-03,7.874913513660430908e-03,-4.979707300662994385e-02,-2.053060233592987061e-01,-1.950616836547851562e-01
-6.583011150360107422e-02,2.614095807075500488e-03,7.177412509918212891e-03,-4.917635023593902588e-02,-2.045129239559173584e-01,-1.963783204555511475e-01
